bits,frequencia
32768,6
32769,7
32770,8
32771,7
32772,7
32773,13
32774,6
32775,5
32776,7
32777,2
32778,7
32779,4
32780,2
32781,2
32782,4
32783,5
32784,10
32785,12
32786,1
32787,2
32788,8
32789,2
32790,7
32791,1
32792,7
32793,8
32794,3
32795,1
32796,11
32797,5
32798,5
32799,7
32800,2
32801,5
32802,4
32803,6
32804,1
32805,2
32806,2
32807,5
32808,5
32809,2
32810,2
32811,1
32812,3
32813,6
32814,3
32815,3
32816,5
32817,2
32818,4
32819,5
32820,2
32821,7
32822,6
32823,4
32824,2
32825,3
32826,2
32827,2
32828,5
32829,6
32830,1
32831,1
32833,2
32835,5
32836,3
32837,4
32838,5
32839,4
32840,2
32841,4
32842,2
32843,4
32844,9
32845,2
32846,4
32847,7
32848,3
32849,4
32850,5
32851,5
32852,3
32853,1
32854,3
32855,1
32856,6
32857,3
32858,1
32859,3
32860,1
32861,6
32862,5
32863,2
32864,3
32865,6
32866,1
32867,4
32868,8
32869,1
32870,1
32871,4
32872,2
32873,3
32874,4
32875,2
32876,4
32877,5
32878,4
32879,4
32880,16
32881,7
32882,2
32883,5
32884,2
32885,1
32886,1
32887,3
32888,4
32889,4
32890,11
32892,3
32893,10
32894,2
32895,2
32896,5
32897,3
32898,9
32899,2
32900,3
32901,7
32902,5
32903,5
32904,3
32905,1
32906,3
32907,2
32908,8
32909,6
32910,2
32911,5
32912,6
32913,6
32914,3
32915,5
32916,6
32917,5
32918,1
32919,8
32920,5
32921,2
32922,3
32923,5
32924,5
32925,3
32926,2
32927,3
32928,4
32929,2
32930,7
32931,5
32932,8
32933,1
32934,2
32935,5
32936,2
32937,1
32938,2
32939,3
32940,5
32941,10
32942,4
32943,1
32944,3
32945,5
32946,2
32947,1
32948,3
32949,8
32950,5
32951,6
32952,4
32953,6
32954,4
32957,6
32958,3
32959,1
32960,7
32961,7
32962,9
32963,2
32964,1
32965,3
32966,5
32967,9
32968,8
32969,8
32970,3
32971,2
32972,4
32973,4
32974,4
32975,9
32976,3
32977,3
32978,4
32979,2
32980,5
32981,5
32982,3
32983,1
32984,3
32986,2
32987,3
32988,4
32989,4
32990,2
32991,2
32992,18
32993,5
32994,5
32995,6
32996,6
32997,5
32998,5
32999,3
33000,4
33001,2
33002,4
33003,3
33004,3
33005,2
33006,3
33007,6
33008,5
33009,2
33010,2
33011,5
33012,4
33013,6
33014,5
33015,4
33016,5
33017,4
33018,3
33019,2
33020,4
33021,2
33022,1
33023,2
33024,2
33025,5
33026,4
33027,10
33028,28
33029,7
33030,11
33031,12
33032,7
33033,5
33034,6
33035,3
33036,11
33037,3
33038,6
33039,4
33040,7
33041,8
33042,2
33043,2
33044,6
33045,4
33046,6
33048,6
33049,4
33050,2
33051,5
33052,13
33053,5
33054,6
33055,8
33056,14
33057,9
33058,3
33059,11
33060,20
33061,6
33062,1
33063,3
33064,2
33065,9
33066,8
33067,2
33068,7
33069,2
33070,3
33071,1
33072,1
33073,2
33074,5
33075,3
33076,5
33077,8
33078,4
33079,7
33080,6
33081,6
33082,6
33083,3
33084,7
33085,6
33086,2
33087,4
33088,3
33089,1
33090,1
33091,6
33092,11
33093,8
33094,5
33095,4
33096,5
33097,4
33098,3
33099,3
33100,6
33101,3
33102,2
33103,1
33104,4
33105,1
33106,3
33107,2
33108,3
33109,4
33110,3
33111,5
33112,10
33113,1
33114,2
33115,1
33116,15
33117,2
33118,2
33119,2
33120,7
33121,3
33122,1
33123,5
33124,5
33125,3
33126,2
