bits,frequencia
32768,1
32770,2
32773,1
32776,1
32777,1
32778,2
32779,3
32781,2
32782,4
32783,3
32784,4
32785,6
32786,5
32787,3
32788,9
32789,6
32790,2
32791,4
32792,4
32793,5
32794,2
32795,15
32796,9
32797,7
32798,12
32799,7
32800,5
32801,11
32802,11
32803,7
32804,11
32805,12
32806,8
32807,11
32808,6
32809,19
32810,4
32811,10
32812,10
32813,15
32814,16
32815,8
32816,11
32817,18
32818,17
32819,12
32820,12
32821,15
32822,15
32823,10
32824,20
32825,12
32826,17
32827,12
32828,8
32829,11
32830,11
32831,7
32832,9
32833,7
32834,10
32835,6
32836,13
32837,10
32838,8
32839,17
32840,16
32841,13
32842,13
32843,9
32844,8
32845,11
32846,11
32847,7
32848,12
32849,12
32850,12
32851,6
32852,16
32853,5
32854,13
32855,11
32856,10
32857,14
32858,15
32859,16
32860,12
32861,8
32862,6
32863,8
32864,4
32865,8
32866,4
32867,10
32868,4
32869,6
32870,5
32871,7
32872,7
32873,3
32874,2
32875,1
32876,6
32877,7
32878,9
32879,5
32880,1
32881,9
32882,10
32883,4
32884,13
32885,10
32886,4
32887,16
32888,9
32889,13
32890,21
32891,16
32892,23
32893,29
32894,27
32895,27
32896,34
32897,32
32898,39
32899,34
32900,23
32901,24
32902,21
32903,15
32904,30
32905,26
32906,28
32907,23
32908,41
32909,29
32910,22
32911,35
32912,29
32913,32
32914,33
32915,27
32916,34
32917,41
32918,34
32919,55
32920,31
32921,32
32922,37
32923,8
32924,14
32925,9
32926,9
32927,17
32928,5
32929,13
32930,6
32931,7
32932,8
32933,8
32934,8
32935,8
32936,14
32937,7
32938,10
32939,11
32940,3
32941,6
32942,13
32943,8
32944,10
32945,4
32946,5
32947,4
32948,9
32949,6
32950,5
32951,3
32952,4
32953,2
32954,2
32955,2
32958,1
32959,2
32960,1
32961,2
32962,2
32963,1
32966,1
32967,2
32969,2
32970,1
32971,1
32973,1
32974,1
32976,1
32977,1
32978,1
32987,1
32994,1
33011,1
33025,1
33030,2
33031,1
33032,2
33034,1
33035,1
33036,2
33037,1
33038,1
33039,4
33040,2
33041,3
33042,6
33043,5
33044,4
33045,14
33046,6
33047,6
33048,8
33049,5
33050,8
33051,11
33052,11
33053,6
33054,5
33055,7
33056,14
33057,11
33058,8
33059,15
33060,4
33061,16
33062,15
33063,10
33064,12
33065,16
33066,14
33067,9
33068,14
33069,7
33070,7
33071,20
33072,8
33073,19
33074,22
33075,10
33076,20
33077,9
33078,15
33079,15
33080,10
33081,15
33082,23
33083,4
33084,18
33085,6
33086,18
33087,7
33088,8
33089,20
33090,13
33091,12
33092,9
33093,11
33094,14
33095,10
33096,14
33097,10
33098,15
33099,10
33100,13
33101,10
33102,13
33103,20
33104,16
33105,10
33106,14
33107,10
33108,13
33109,10
33110,7
33111,12
33112,7
33113,16
33114,8
33115,14
33116,10
33117,12
33118,9
33119,13
33120,6
33121,7
33122,6
33123,6
33124,14
33125,7
33126,2
33127,5
33128,3
33129,3
33130,3
33131,5
33132,4
33133,2
33134,3
33135,5
33136,1
33137,7
33138,11
33139,9
33140,8
33141,9
33142,8
33143,14
33144,9
33145,16
33146,11
33147,10
33148,12
33149,28
33150,23
33151,31
33152,25
33153,28
33154,31
33155,32
33156,27
33157,19
33158,19
33159,31
33160,42
33161,24
33162,17
33163,25
33164,25
33165,25
33166,25
33167,23
33168,29
33169,42
33170,29
33171,24
33172,36
33173,27
33174,26
33175,38
33176,38
33177,24
33178,36
33179,21
33180,22
33181,15
33182,16
33183,12
33184,11
33185,1
33186,10
33187,9
33188,8
33189,5
33190,2
33191,3
33192,12
33193,8
33194,7
33195,4
33196,3
33197,8
33198,6
33199,3
33200,7
33201,5
33202,7
33203,3
33204,8
33205,2
33206,4
33207,4
33208,4
33209,4
33210,2
33211,1
33213,4
33214,1
33215,2
33216,2
33217,1
33220,3
33221,1
33228,1
33229,1
33230,1
33231,1
33233,2
33234,1
33238,2
33240,1
33262,1
33264,1
33281,1
33288,2
33289,2
33291,2
33292,2
33293,4
33296,4
33297,2
33298,4
33299,2
33300,4
33301,1
33302,8
33303,4
33304,3
33305,5
33306,12
33307,8
33308,8
33309,14
33310,9
33311,10
33312,4
33313,7
33314,5
33315,5
33316,9
33317,8
33318,10
33319,13
33320,9
33321,15
33322,14
33323,7
33324,9
33325,12
33326,8
33327,14
33328,27
33329,14
33330,11
33331,21
33332,15
33333,9
33334,14
33335,15
33336,4
33337,6
33338,16
33339,12
33340,17
33341,16
33342,8
33343,18
33344,15
33345,9
33346,11
33347,7
33348,15
33349,8
33350,13
33351,8
33352,10
33353,15
33354,8
33355,12
33356,11
33357,8
33358,8
33359,13
33360,14
33361,11
33362,10
33363,17
33364,11
33365,13
33366,15
33367,5
33368,12
33369,18
33370,8
33371,15
33372,15
33373,4
33374,15
33375,10
33376,5
33377,4
33378,9
33379,10
33380,8
33381,3
33382,2
33383,3
33384,5
33385,4
33386,8
33387,4
33388,5
33389,4
33390,3
33391,3
33392,1
33393,8
33394,2
33395,6
33396,8
33397,9
33398,13
33399,14
33400,8
33401,13
33402,17
33403,18
33404,12
33405,25
33406,28
33407,30
33408,17
33409,38
33410,32
33411,30
33412,27
33413,33
33414,20
33415,24
33416,28
33417,25
33418,23
33419,28
33420,27
33421,25
33422,26
33423,19
33424,27
33425,21
33426,27
33427,36
33428,39
33429,42
33430,25
33431,40
33432,46
33433,40
33434,43
33435,31
33436,26
33437,11
33438,14
33439,18
33440,5
33441,9
33442,11
33443,5
33444,4
33445,9
33446,3
33447,6
33448,9
33449,9
33450,5
33451,6
33452,8
33453,10
33454,9
33455,8
33456,4
33457,10
33458,7
33459,3
33460,3
33461,3
33462,2
33463,2
33464,3
33465,3
33466,1
33467,4
33468,1
33469,1
33470,2
33471,5
33472,1
33473,1
33475,6
33477,1
33479,1
33480,1
33481,3
33482,1
33484,2
33486,1
33487,1
33489,2
33490,1
33491,3
33494,1
33499,1
33503,1
33521,1
33527,1
33543,1
33546,1
33547,1
33548,5
33549,2
33551,1
33553,2
33554,4
33555,2
33556,2
33557,5
33559,10
33560,7
33561,6
33562,9
33563,3
33564,5
33565,7
33566,8
33567,6
33568,10
33569,8
33570,2
33571,7
33572,12
33573,12
33574,10
33575,12
33576,18
33577,10
33578,16
33579,10
33580,6
33581,18
33582,12
33583,21
33584,11
33585,20
33586,19
33587,13
33588,19
33589,18
33590,16
33591,18
33592,10
33593,18
33594,14
33595,11
33596,25
33597,12
33598,7
33599,12
33600,13
33601,11
33602,10
33603,11
33604,9
33605,13
33606,14
33607,16
33608,6
33609,5
33610,18
33611,12
33612,8
33613,7
33614,8
33615,5
33616,17
33617,12
