bits,frequencia
32768,2
32769,2
32771,8
32772,2
32775,3
32777,4
32778,3
32779,2
32780,2
32781,3
32782,3
32783,9
32784,5
32785,1
32786,2
32787,5
32788,2
32789,1
32790,2
32791,1
32792,4
32793,3
32794,1
32795,2
32796,1
32798,1
32799,4
32801,1
32802,2
32803,2
32804,1
32805,1
32806,4
32807,5
32808,4
32809,1
32810,4
32811,2
32812,4
32813,2
32814,3
32815,3
32816,1
32818,2
32821,3
32822,4
32823,1
32824,4
32825,2
32826,1
32827,3
32828,1
32830,1
32831,4
32832,1
32833,2
32834,4
32835,1
32836,2
32837,3
32838,1
32839,1
32840,2
32842,2
32843,3
32844,3
32845,2
32848,5
32849,1
32850,3
32851,4
32852,3
32853,2
32855,1
32856,4
32857,3
32858,2
32859,2
32860,1
32861,1
32863,2
32864,1
32865,4
32866,2
32868,1
32870,1
32871,1
32872,2
32873,2
32874,4
32875,1
32876,4
32878,5
32879,1
32880,8
32881,2
32882,1
32883,5
32884,2
32885,2
32886,2
32887,1
32888,1
32889,1
32890,1
32891,4
32892,5
32894,2
32895,5
32896,1
32897,1
32898,3
32899,1
32900,3
32902,4
32904,3
32907,4
32908,4
32909,1
32910,1
32911,1
32912,4
32913,2
32914,3
32915,1
32916,3
32917,2
32918,2
32920,2
32921,3
32922,2
32923,2
32924,1
32925,2
32926,1
32927,3
32928,2
32929,2
32931,3
32932,2
32933,2
32934,3
32935,1
32936,2
32937,1
32938,2
32939,1
32940,5
32941,3
32942,3
32943,2
32944,2
32945,3
32946,2
32947,4
32948,4
32949,1
32951,7
32952,2
32953,4
32954,1
32955,2
32956,5
32957,2
32958,2
32959,3
32960,1
32961,2
32962,2
32963,3
32964,1
32965,4
32966,3
32967,6
32968,2
32969,2
32970,2
32971,2
32973,2
32974,2
32975,1
32976,1
32977,6
32979,2
32980,1
32981,1
32982,1
32983,3
32984,3
32985,3
32987,1
32988,2
32989,4
32990,1
32991,3
32992,2
32993,1
32994,3
32995,5
32996,2
32997,1
32998,1
32999,1
33000,2
33001,3
33002,3
33003,5
33004,4
33005,1
33006,1
33007,1
33008,2
33009,6
33010,2
33011,2
33013,1
33014,3
33015,2
33016,4
33017,3
33018,1
33019,4
33020,1
33021,2
33022,2
33023,2
33025,1
33027,3
33028,1
33029,3
33030,1
33031,8
33032,2
33033,3
33034,5
33035,2
33036,1
33037,4
33038,1
33039,4
33040,3
33041,3
33042,3
33043,3
33044,3
33045,1
33046,2
33047,1
33048,4
33049,1
33051,2
33052,3
33053,2
33054,1
33055,4
33056,3
33057,2
33058,2
33059,2
33060,3
33061,3
33062,4
33063,4
33064,2
33065,2
33066,2
33067,3
33068,2
33069,2
33070,2
33071,4
33072,1
33073,2
33074,2
33075,3
33076,6
33077,1
33078,3
33080,1
33081,3
33082,1
33083,2
33084,4
33085,3
33086,2
33088,2
33089,2
33090,2
33091,1
33092,1
33093,3
33094,3
33095,2
33096,1
33097,2
33098,4
33099,3
33100,3
33101,2
33102,1
33103,4
33104,2
33105,1
33106,3
33107,5
33108,2
33109,5
33111,2
33112,4
33113,6
33114,1
33115,4
33116,3
33117,3
33119,1
33120,2
33121,2
33123,3
33124,1
33125,3
33126,1
33127,2
33128,2
33129,4
33130,1
33131,3
33132,8
33133,1
33135,1
33136,2
33137,2
33138,1
33139,4
33141,2
33142,2
33143,3
33144,2
33145,3
33146,2
33147,1
33148,5
33149,2
33150,1
33151,2
33152,1
33154,5
33155,3
33156,2
33157,1
33158,1
33159,3
33160,1
33161,7
33162,1
33163,3
33164,1
33165,3
33166,3
33167,2
33168,1
33169,2
33170,3
33171,1
33172,2
33173,4
33174,4
33175,2
33176,1
33177,2
33178,2
33179,3
33180,1
33181,1
33182,5
33183,2
33185,3
33186,1
33187,1
33188,3
33189,3
33190,2
33191,7
33192,4
33194,3
33195,1
33196,1
33197,3
33199,2
33200,2
33201,2
33202,3
33203,2
33204,4
33205,3
33207,6
33208,2
33209,1
33210,2
33211,3
33212,4
33213,3
33214,1
33215,4
33216,4
33217,4
33218,4
33219,3
33220,3
33221,1
33222,4
33224,1
33225,2
33226,3
33227,2
33229,1
33230,3
33231,3
33232,3
33233,2
33234,4
33235,2
33236,3
33237,3
33238,2
33239,3
33240,3
33241,3
33242,4
33243,4
33245,2
33246,2
33247,7
33248,2
33250,2
33251,2
33252,2
33253,2
33254,3
33255,4
33256,2
33257,6
33258,3
33259,1
33260,2
33261,2
33262,2
33263,3
33264,3
33265,6
33266,2
33267,6
33268,3
33269,5
33270,2
33271,4
33272,3
33274,2
33275,2
33276,2
33277,2
33278,4
33279,6
33280,2
33281,1
33282,2
33283,3
33285,1
33286,1
33287,5
33288,2
33289,1
33290,1
33291,4
33292,4
33293,2
33294,1
33295,4
33296,2
33297,2
33298,4
33299,3
33300,2
33301,1
33302,2
33303,4
33304,1
33305,3
33307,4
33308,3
33309,6
33310,2
33311,2
33312,2
33313,2
33314,3
33316,1
33318,2
33319,5
33320,3
33321,2
33322,3
33324,4
33325,2
33327,1
33328,3
33329,1
33330,1
33331,2
33332,3
33333,1
33334,2
33335,1
33336,1
33337,2
33338,3
33339,2
33340,4
33341,3
33342,4
33343,3
33344,1
33346,2
33347,2
33349,1
33350,1
33351,4
33352,1
33353,3
33354,6
33355,2
33356,4
33357,3
33358,4
33359,1
33360,4
33361,2
33362,1
33363,1
33364,1
33365,6
33366,3
33367,3
33368,1
33369,3
33370,3
33371,3
