bits,frequencia
33219,1
33731,1
34755,2
41667,1
41923,3
42947,2
43715,1
46531,1
49959,1
49985,1
49989,1
49998,1
50017,1
50018,1
50019,1
50022,1
50030,2
50035,1
50036,1
50055,1
50087,1
2313,102
2314,52
2336,2
2569,2
2570,71
2573,1
2592,9
2600,1
2601,1
2603,1
2604,13
2610,1
2618,2
2619,118
2621,1
2622,171
2644,1
2653,1
2661,4
2671,3
2675,2
2683,58
2685,32
3390,4
8201,2
8202,360
8224,5854
8225,3
8226,69
8230,3
8231,19
8233,55
8235,23
8236,60
8237,8
8238,2
8239,1
8240,1
8241,2
8242,14
8243,8
8244,14
8245,2
8246,2
8247,2
8250,23
8251,14
8252,1
8253,66
8254,5
8255,4
8257,3
8266,1
8272,2
8274,2
8275,1
8285,2
8289,33
8291,6
8292,14
8293,46
8294,26
8295,5
8296,14
8297,8
8298,1
8299,2
8300,18
8301,8
8302,57
8303,20
8304,4
8305,1
8306,47
8307,26
8308,16
8309,1
8310,41
8311,6
8312,1
8313,4
8315,5
8316,6
8317,3
8329,1
8362,1
8457,1
8480,6
8482,3
8486,1
8488,5
8492,4
8506,1
8508,3
8558,1
8559,1
8564,1
8736,18
8738,12
8739,3
8742,1
8743,8
8744,23
8745,1
8747,3
8748,12
8749,2
8750,5
8751,3
8752,3
8753,5
8754,1
8755,2
8756,1
8757,1
8762,9
8763,9
8765,159
8766,1
8772,1
8773,1
8784,3
8788,3
8795,4
8803,1
8804,9
8805,21
8807,4
8808,1
8809,2
8811,9
8812,11
8813,3
8814,10
8815,5
8816,3
8818,9
8819,23
8820,22
8821,1
8822,3
8823,12
8824,2
8825,7
8827,2
8828,1
8994,5
8998,6
8999,45
9225,6
9248,41
9256,9
9760,3
9766,12
9767,1
9769,1
9777,1
9790,1
9796,1
9811,1
9821,1
9825,1
9827,1
9829,4
9831,1
9838,1
9840,1
9844,1
9847,2
9849,1
10016,33
10018,6
10023,12
10024,46
10030,3
10031,1
10032,5
10033,1
10034,2
10035,2
10045,5
10046,10
10066,1
10068,2
10075,2
10083,1
10084,4
10085,7
10087,1
10091,4
10092,4
10093,2
10094,4
10095,3
10096,4
10098,4
10099,8
10100,6
10102,3
10105,6
10272,45
10276,53
10278,4
10279,2
10280,3
10281,1
10298,1
10303,1
10333,1
10337,5
10339,1
10340,2
10341,30
10342,9
10343,4
10344,2
10345,4
10347,8
10348,19
10349,1
10350,19
10351,2
10352,5
10353,2
10354,12
10355,9
10356,27
10357,1
10359,3
10360,4
10361,6
10363,1
10364,4
10365,3
10528,1
10530,25
10535,54
10536,61
10537,10
10539,1
10544,3
10546,1
10547,1
10548,2
10550,1
10552,1
10555,1
10589,4
10596,5
10597,17
10600,2
10603,2
10604,2
10605,1
10606,11
