bits,frequencia
32772,1
32778,1
32780,1
32782,1
32797,1
32808,1
32810,1
32840,1
32855,1
32877,1
32887,1
32890,1
32896,2
32907,1
32924,2
32929,1
32930,1
32956,1
32958,1
32965,1
33010,1
33013,1
33014,1
33019,1
33022,1
33029,1
33030,1
33032,1
33040,1
33056,1
33064,1
33079,1
33081,1
33090,1
33110,1
33155,1
33222,2
33227,1
33230,1
33280,1
33293,1
33301,1
33306,1
33322,1
33339,1
33343,1
33344,1
33360,1
33375,1
33376,1
33384,1
33392,1
33408,1
33430,1
33469,1
33471,1
33479,1
33529,1
33541,1
33546,1
33600,1
33618,1
33640,1
33664,1
33676,1
33680,1
33693,1
33694,1
33699,1
33703,1
33707,1
33719,1
33724,1
33731,1
33736,1
33741,2
33752,1
33754,1
33781,1
33807,1
33819,1
33830,1
33858,1
33864,1
33880,1
33881,1
33915,1
33923,1
33928,1
33950,1
33971,1
33988,1
33995,1
34002,1
34008,1
34012,1
34038,1
34044,1
34065,1
34066,1
34093,1
34096,1
34103,1
34121,1
34134,1
34149,1
34160,1
34183,1
34189,1
34198,1
34199,1
34208,2
34228,1
34230,1
34236,2
34245,1
34261,1
34268,1
34278,1
34286,1
34287,1
34288,1
34289,1
34290,1
34296,1
34301,1
34305,1
34306,1
34309,1
34314,1
34315,1
34319,1
34323,1
34333,1
34338,1
34342,1
34381,1
34388,1
34401,1
34410,1
34414,1
34428,1
34445,1
34453,1
34466,1
34469,1
34470,1
34476,1
34488,1
34525,1
34532,2
34549,1
34552,1
34586,1
34599,1
34602,1
34632,2
34639,1
34653,1
34665,1
34669,1
34714,1
34727,1
34763,1
34764,1
34767,1
34769,1
34774,1
34796,1
34824,1
34837,1
34849,1
34852,1
34865,1
34870,1
34890,1
34909,1
34936,1
34966,2
34981,1
35005,1
35021,1
35030,1
35062,1
35070,1
35073,1
35082,1
35093,1
35105,1
35107,1
35108,2
35124,1
35156,2
35162,1
35163,1
35190,1
35193,1
35200,1
35213,1
35215,1
35221,1
35224,1
35266,1
35272,1
35274,1
35291,1
35323,1
35365,1
35375,1
35376,1
35380,1
35391,1
35440,1
35441,1
35442,1
35452,1
35458,1
35461,1
35487,1
35490,1
35507,1
35530,1
35535,1
35540,2
35543,1
35573,1
35583,1
35585,2
35586,1
35591,1
35597,1
35629,1
35653,1
35672,1
35673,1
35688,1
35703,1
35719,1
35723,1
35745,1
35755,1
35762,1
35764,1
35783,1
35815,1
35818,1
35855,1
35856,1
35891,1
35909,2
35940,1
35946,1
35953,2
35983,2
36030,1
36031,1
36042,1
36053,1
36084,1
36094,1
36095,1
36096,1
36137,1
36144,1
36145,1
36146,1
36165,1
36175,1
36184,1
36204,1
36207,1
36228,1
36229,1
36237,2
36251,1
36263,1
36273,1
36275,1
36279,1
36284,1
36306,1
36326,1
36368,1
36376,1
36402,1
36416,2
36417,1
36421,1
36438,1
36443,1
36448,1
36463,1
36473,2
36483,1
36492,1
36498,1
36511,1
36562,1
36567,1
36585,1
36597,1
36601,1
36609,1
36623,1
36662,1
36668,1
36675,1
36687,1
36690,1
36693,1
36743,1
36748,1
36762,1
36784,1
36785,2
36798,1
36804,1
36805,1
36807,1
36809,1
36819,1
36823,1
36824,1
36826,1
36831,1
36842,1
36846,1
36872,1
36877,1
36906,1
36910,1
36929,1
36930,1
36935,1
36953,1
36988,1
36993,1
36997,1
37028,1
37035,1
37057,1
37087,1
37103,2
37105,1
37110,1
37111,1
37129,1
37137,1
37149,1
37173,1
37207,1
37210,1
37211,1
37212,1
37214,1
37243,1
37246,1
37261,1
37284,1
37289,1
37293,1
37299,2
37309,1
37323,1
37325,1
37328,1
37348,1
37350,1
37368,1
37394,1
37401,1
37418,1
37438,1
37446,1
37469,1
37473,1
37489,1
37505,1
