bits,frequencia
32769,2
32770,1
32771,3
32776,1
32779,1
32780,1
32785,1
32787,1
32788,1
32791,1
32793,1
32795,1
32796,1
32797,1
32798,2
32801,2
32802,1
32807,1
32812,1
32814,1
32817,2
32822,1
32829,1
32831,1
32835,3
32838,1
32839,1
32840,1
32842,1
32845,1
32849,5
32853,1
32855,2
32856,2
32859,2
32860,1
32865,1
32868,1
32869,3
32871,1
32875,1
32876,1
32882,1
32889,1
32895,1
32899,1
32900,1
32906,1
32908,2
32909,1
32910,1
32913,1
32919,1
32923,1
32924,1
32925,1
32926,1
32928,1
32930,1
32931,1
32932,1
32933,2
32935,1
32938,1
32939,2
32942,1
32948,1
32953,2
32955,2
32968,1
32969,2
32970,1
32972,1
32976,1
32979,1
32980,1
32981,3
32983,1
32989,1
32992,1
32999,1
33007,3
33020,1
33024,2
33025,1
33027,1
33035,1
33036,5
33041,1
33043,1
33051,2
33052,3
33058,1
33059,1
33060,1
33061,1
33063,1
33066,2
33067,1
33069,1
33073,1
33074,1
33075,1
33083,1
33084,1
33090,1
33091,1
33095,2
33097,1
33103,1
33104,1
33105,2
33107,1
33113,1
33115,2
33117,1
33118,1
33120,2
33123,1
33129,1
33131,1
33132,1
33137,1
33139,4
33142,1
33147,1
33148,1
33151,1
33152,1
33153,2
33157,1
33160,2
33164,1
33169,1
33172,1
33174,1
33178,1
33180,1
33182,1
33188,3
33189,1
33190,1
33191,1
33205,2
33208,1
33211,2
33212,3
33213,1
33217,1
33218,1
33226,1
33227,1
33228,1
33230,1
33231,1
33235,1
33237,2
33240,1
33243,1
33245,1
33247,2
33248,1
33250,1
33252,3
33259,1
33262,2
33266,1
33267,1
33270,1
33272,1
33273,1
33275,2
33278,1
33281,2
33282,2
33283,2
33285,1
33287,2
33290,2
33291,1
33293,1
33297,1
33300,1
33301,1
33308,1
33309,1
33313,2
33315,1
33319,1
33320,2
33322,2
33323,2
33326,1
33329,3
33330,2
33332,1
33340,2
33346,1
33347,2
33348,3
33349,1
33353,2
33354,1
33355,1
33356,1
33357,2
33360,2
33361,1
33364,1
33368,1
33369,1
33370,2
33371,2
33372,1
33374,1
33377,1
33378,1
33379,1
33382,1
33384,1
33385,1
33387,1
33388,1
33396,1
33397,1
33398,1
33399,1
33400,1
33402,1
33403,2
33407,1
33409,1
33411,1
33412,1
33415,1
33417,1
33418,4
33420,2
33424,1
33425,1
33428,1
33432,1
33436,1
33440,1
33441,1
33442,2
33444,1
33445,1
33446,1
33447,1
33453,1
33456,2
33457,2
33459,1
33462,1
33466,1
33467,2
33470,1
33474,1
33475,2
33477,1
33481,1
33483,1
33487,3
33488,1
33491,2
33495,2
33498,2
33504,2
33508,2
33510,2
33513,1
33514,1
33516,1
33526,1
33527,1
33529,1
33530,2
33531,1
33533,1
33537,1
33540,2
33543,1
33546,2
33548,1
33550,1
33557,1
33560,1
33563,1
33564,1
33565,3
33568,2
33575,2
33576,1
33580,1
33581,2
33583,3
33586,1
33587,1
33589,1
33596,1
33600,1
33603,1
33609,2
33614,1
33617,1
33619,2
33621,1
33624,1
33625,2
33626,2
33628,1
33630,1
33632,1
33636,1
33638,1
33646,1
33648,1
33649,1
33650,1
33657,1
33658,2
33659,1
33664,1
33665,1
33666,1
33667,1
33672,1
33673,1
33675,1
33676,1
33678,4
33683,1
33684,2
33685,1
33686,1
33688,1
33690,1
33692,1
33694,3
33696,1
33699,2
33710,1
33713,1
33718,1
33719,1
33720,2
33723,2
33724,1
33725,1
33726,2
33727,1
33730,1
33735,1
33737,1
33739,1
33741,1
33742,1
33753,2
33764,1
33765,1
33766,1
33767,1
33768,1
33771,3
33774,1
33779,1
33780,1
33782,1
33784,1
33785,2
33787,1
33792,5
33794,1
33796,1
33804,1
33806,1
33809,1
33812,1
33818,2
33820,1
33823,3
33830,1
33837,1
33838,1
33839,1
33841,1
33842,1
33850,2
33851,1
33855,1
33862,1
33864,2
33866,2
33868,2
33874,2
33877,1
33882,1
33887,1
33888,1
33892,1
33900,2
33906,1
33912,1
33914,1
33916,1
33923,1
33928,1
33932,1
33934,1
33937,1
33946,1
33948,1
33949,2
33950,4
33954,1
33956,1
33966,1
33972,1
33973,1
33974,1
33980,2
33982,1
33984,1
33988,2
33991,1
33992,1
33993,2
34001,1
34005,1
34006,1
34008,1
34011,1
34012,1
34021,1
34026,2
34028,1
34029,2
34037,1
34040,1
34041,1
34043,1
34048,1
34052,1
34058,1
34059,1
34060,1
34064,1
34076,3
34079,1
34083,1
34084,2
34090,1
34092,1
34094,1
34096,1
34097,1
34098,1
34101,2
34102,1
34103,1
34106,1
34107,1
34111,2
34113,1
34114,1
34116,2
34117,1
34118,1
34123,1
34124,1
34126,1
34128,1
34130,1
34132,1
34135,1
34136,1
34139,1
34140,1
34144,1
34147,3
34148,1
34149,2
34150,1
34152,1
34156,1
34157,2
34158,1
34161,2
34163,1
34165,1
34167,1
34168,1
34170,1
34171,1
34175,1
34178,1
34180,2
34187,1
34188,1
34191,1
34193,1
34198,2
34199,1
34202,1
34204,1
34207,1
34215,1
34216,1
34219,2
34224,1
34225,1
34227,1
34230,1
34231,3
34233,1
34234,2
34236,1
34238,1
34239,3
34243,1
34256,1
34260,2
34261,1
34264,1
34268,1
34269,1
34272,1
34273,2
34276,1
34282,1
34283,1
34284,1
34289,1
34290,1
34291,3
34293,1
34297,1
34299,1
34300,1
34301,1
34307,1
34309,1
34311,1
34319,1
34323,1
34324,1
34325,1
34326,1
34327,1
34329,1
34330,1
34331,1
34334,1
34336,1
34337,1
34338,1
34341,2
34344,1
34347,1
34348,2
34349,1
34350,1
34351,2
34352,1
34356,1
34360,1
34362,2
34363,1
34364,1
34367,1
34371,2
34374,1
34375,2
34377,1
34381,1
34385,1
34388,1
34389,1
34391,1
34394,1
34395,2
34398,1
34400,1
34401,1
34402,1
34404,1
34410,1
34417,1
34422,1
34425,1
34427,1
34430,1
34431,1
34433,1
34436,1
34439,1
34441,1
34443,1
34445,1
34446,3
34459,1
34464,1
34466,1
34467,1
34474,1
34475,1
34477,1
34478,1
34485,1
34486,2
34488,3
34489,1
34490,1
34492,1
34493,1
34495,1
34501,2
34510,1
34511,1
34516,2
34518,1
34523,2
34524,1
34527,1
34529,1
34530,2
34531,1
34546,1
34548,1
34550,2
34552,2
34554,1
34555,1
34558,1
34561,1
34565,2
34574,1
34577,1
34578,1
34582,2
34587,1
34589,1
34590,1
34593,1
34594,1
34597,1
34603,1
34608,2
34616,1
34620,2
34621,1
34623,3
34629,1
34632,1
34634,1
34639,2
34643,1
34646,2
34648,1
34649,1
34650,1
34651,2
34654,1
34655,2
34656,1
34658,1
34660,2
34661,1
34662,1
34663,1
34666,1
34667,1
34670,1
34681,1
34682,2
34685,1
34687,1
34688,1
34694,2
34697,1
34700,1
34701,1
34702,3
34705,1
34708,1
34710,1
34713,1
34714,3
34715,1
34718,2
34720,1
34721,2
34723,1
34725,1
34727,1
34730,1
34731,1
34735,1
34739,1
34740,1
34741,1
34743,2
34746,1
34747,1
34748,1
34749,2
34753,1
34758,1
34760,1
34764,2
34769,1
34770,1
34772,1
34773,1
34774,1
34775,1
34779,2
34792,1
34806,1
34808,1
34818,1
34819,1
34822,2
34824,1
34834,1
34836,1
34839,1
34840,1
34841,2
34842,1
34843,1
34845,2
34848,1
34849,1
34855,1
34856,1
34859,2
34862,1
34868,1
34875,2
34876,1
34877,1
34879,3
34881,1
34882,1
34889,1
34893,1
34894,1
34895,1
34901,1
34902,2
34907,2
34908,1
34913,1
34915,1
34923,1
34927,1
34936,1
34940,1
34941,1
34945,1
34948,1
34951,1
34953,3
34957,1
34962,1
34964,1
34971,1
34975,1
34976,1
34977,1
34983,1
34984,1
34990,1
34993,1
34994,2
34996,2
34998,1
34999,1
35001,2
35003,2
35004,1
35007,2
35015,1
35016,1
35019,2
35021,1
35023,1
35025,2
35031,1
35035,2
35036,1
35037,1
35040,1
35045,1
35046,3
35052,1
35058,1
35061,1
35062,1
35063,1
35067,2
35076,1
35079,1
35080,1
35083,1
35085,1
35086,1
35093,1
35094,1
35099,1
35103,1
35104,2
35108,3
35109,1
35111,3
35112,2
35114,1
35120,2
35127,2
35131,1
35132,2
35135,1
35136,1
35137,1
35139,1
35143,1
35148,1
35155,1
35157,1
35158,1
35160,1
35161,1
35163,1
35170,1
35172,2
35173,4
35179,1
35183,1
35185,1
35186,1
35188,1
35193,1
35195,2
35196,3
35205,2
35207,1
35208,2
35212,1
35213,2
35216,1
35217,2
35219,1
35220,1
35221,1
35225,1
35227,2
35229,1
35234,2
35236,3
35238,2
35239,2
35241,1
35248,1
35249,1
35251,1
35255,3
35256,2
35259,2
35265,1
35268,1
35271,1
35273,2
35282,1
35284,1
35285,1
35287,1
35290,1
35292,1
35294,2
35297,1
35298,2
35299,1
35301,1
35302,1
35306,1
35309,1
35317,1
35321,1
35322,1
35324,1
35328,1
35329,1
35332,1
35333,1
35335,1
35340,3
35344,1
35345,1
35351,1
35352,1
35356,1
35363,2
35364,4
35365,2
35366,2
35370,1
35371,1
35372,1
35373,2
35375,1
35376,1
35377,2
35378,1
35380,1
35384,1
35387,1
35388,1
35390,1
35392,1
35394,1
35395,1
35398,1
35402,1
35404,1
35406,1
35407,1
35409,2
35413,1
35415,2
35418,1
35421,1
35422,1
35423,1
35424,1
35425,1
35427,1
35428,4
35429,1
35432,2
35437,2
35441,1
35443,2
35444,1
35447,1
35453,3
35457,1
35460,1
35461,1
35464,1
35466,1
35473,1
35477,1
35480,1
35481,1
35482,1
35484,2
35488,1
35489,1
35490,1
35492,1
35493,1
35500,1
35506,1
35507,2
35508,1
35509,2
35511,1
35513,1
35522,1
35524,1
35526,2
35528,2
35529,1
35532,1
35533,1
35534,3
35535,1
35538,2
35539,2
35543,1
35545,1
35546,1
35547,3
35548,1
35549,2
35551,1
35553,1
35557,1
35558,2
35559,1
35561,4
35563,1
35564,2
35565,3
35569,1
35570,1
35571,1
35576,2
35577,1
35578,1
35579,2
35584,2
35588,1
35590,2
35595,1
35596,2
35598,1
35599,2
35602,2
35603,1
35604,1
35605,1
35606,1
35615,1
35616,1
35617,1
35622,1
35624,1
35626,2
35627,1
35628,1
35636,1
35640,1
35641,1
35642,1
35647,1
35650,1
35656,1
35659,1
35660,1
35663,1
35667,2
35669,1
35671,1
35675,2
35678,1
35679,1
35680,1
35681,2
35682,2
35683,1
35684,1
35685,1
35688,1
35689,1
35690,1
35691,1
35695,1
35697,1
35701,1
35704,1
35706,2
35707,1
35711,1
35713,1
35717,1
35718,1
35720,1
35727,1
35729,1
35732,1
35734,2
35739,3
35746,1
35749,1
35751,2
35752,2
35754,1
35755,2
35757,1
35758,2
35770,1
35772,1
35774,1
35776,1
35780,1
35782,3
35794,1
35795,1
35796,1
35798,1
35799,1
35804,1
35806,1
35808,1
35809,1
35810,1
35813,2
35816,1
35819,1
35828,2
35832,1
35833,3
35840,1
35847,3
35851,2
35856,1
35858,1
35859,2
35860,1
35863,2
35866,1
35867,1
35868,3
35872,3
35876,2
35882,1
35883,1
35884,1
35885,2
35886,1
35889,1
35890,2
35891,1
35893,1
35894,1
35896,1
35897,1
35898,1
35899,3
35904,1
35905,2
35907,1
35908,1
35909,1
35912,1
35915,1
35917,1
35921,1
35923,1
35925,1
35926,1
35927,2
35928,4
35930,1
35931,1
35936,1
35938,1
35939,2
35940,3
35941,2
35942,1
35946,1
35948,2
35949,3
35950,1
35953,4
35955,4
35957,1
35962,1
35971,1
35973,1
35977,2
35983,1
35984,1
35986,1
35987,2
35988,2
35989,2
35990,1
35991,3
35993,2
35996,1
35997,2
35999,1
36001,1
36002,3
36003,1
36004,2
36005,1
36006,2
36008,1
36009,1
36010,2
36012,1
36014,2
36016,1
36017,2
36018,1
36020,4
36021,2
36023,3
36024,1
36025,3
36028,1
36030,1
36032,1
36036,2
36037,1
36040,1
36044,2
36045,1
36048,1
36049,1
36051,4
36053,2
36055,2
36059,2
36060,1
36061,1
36062,1
36064,3
36066,1
36068,2
36071,1
36072,1
36081,3
36085,1
36087,1
36088,1
36090,2
36096,1
36100,1
36102,2
36104,2
36105,1
36109,2
36113,1
36117,1
36122,2
36123,1
36124,1
36127,1
36131,1
36133,1
36137,2
36139,1
36140,1
36141,2
36142,1
36147,1
36148,1
36149,2
36152,2
36153,1
36154,3
36157,1
36159,3
36161,1
36164,1
36165,1
36166,1
36168,1
36169,1
36176,1
36177,2
36180,2
36182,2
36183,2
36185,1
36186,1
36187,1
36195,1
36196,2
36198,1
36199,1
36202,2
36204,1
36205,1
36209,1
36210,1
36217,1
36218,1
36221,1
36223,1
36226,1
36227,2
36228,1
36233,1
36236,1
36238,1
36244,2
36245,1
36246,1
36250,2
36255,2
36260,2
36262,4
36263,1
36265,1
36268,2
36275,1
36276,1
36277,2
36279,1
36281,1
36282,3
36284,2
36287,2
36289,2
36296,3
36298,5
36300,1
36303,2
36304,2
36307,1
36309,1
36310,1
36311,1
36312,1
36316,1
36320,1
36322,1
36323,1
36324,2
36325,1
36327,1
36328,1
36333,1
36335,2
36338,1
36340,1
36344,1
36348,1
36349,2
36353,3
36355,1
36359,3
36361,2
36362,1
36364,1
36368,1
36371,1
36372,1
36373,2
36376,1
36381,1
36384,6
36387,1
36388,5
36389,1
36392,1
36393,1
36394,1
36396,1
36397,1
36398,1
36400,1
36401,5
36402,1
36403,2
36411,1
36412,2
36413,1
36415,1
36416,1
36419,1
36420,2
36423,1
36424,2
36426,1
36427,1
36431,1
36433,1
36435,3
36436,1
36437,1
36438,1
36439,1
36440,3
36441,2
36444,1
36445,1
36447,1
36448,1
36449,1
36450,1
36451,3
36452,3
36453,2
36454,1
36455,2
36458,1
36461,1
36467,1
36468,1
36470,1
36471,1
36472,1
36474,2
36476,1
36477,1
36485,1
36487,1
36491,1
36492,2
36493,1
36497,1
36499,2
36501,2
36506,2
36508,1
36513,1
36515,1
36517,1
36519,2
36520,1
36522,1
36524,1
36530,1
36534,2
36536,2
36537,1
36538,2
36540,2
36541,1
36542,1
36544,2
36545,1
36546,2
36548,2
36552,1
36557,1
36558,2
36560,1
36561,1
36565,1
36569,2
36571,2
36572,1
36575,2
36576,2
36579,2
36580,3
36581,3
36582,1
36583,2
36585,2
36588,1
36590,2
36593,1
36594,1
36595,1
36597,1
36599,2
36604,1
36608,1
36609,1
36612,2
36613,1
36617,1
36618,1
36619,1
36624,1
36625,1
36628,1
36630,1
36636,2
36637,2
36640,1
36641,1
36643,1
36644,1
36647,1
36650,1
36651,2
36657,1
36658,1
36659,4
36667,1
36668,1
36669,2
36670,1
36671,1
36674,1
36676,1
36678,1
36682,2
36684,1
36685,1
36690,1
36691,1
36692,2
36694,2
36698,2
36701,3
36704,1
36707,2
36709,4
36710,2
36711,1
36713,1
36714,1
36718,1
36722,1
36723,1
36724,2
36725,1
36726,1
36736,1
36739,2
36740,2
36742,1
36746,1
36747,1
36748,2
36753,1
36754,1
36755,1
36757,1
36759,1
36762,1
36763,1
36764,1
36770,1
36771,1
36772,1
36773,1
36774,2
36779,1
36781,2
36782,1
36785,2
36788,2
36789,1
36793,2
36794,1
36797,3
36798,1
36799,1
36800,1
36802,2
36808,1
36811,1
36822,2
36824,1
36825,1
36828,1
36829,1
36830,1
36831,1
36833,1
36836,1
36839,1
36843,2
36845,4
36846,1
36847,2
36848,1
36850,1
36852,1
36855,1
36856,1
36857,3
36859,3
36860,1
36862,1
36866,1
36867,1
36868,2
36872,1
36873,1
36880,1
36881,1
36885,1
36889,1
36891,1
36892,1
36895,1
36899,1
36902,1
36903,2
36905,1
36906,1
36908,3
36911,1
36913,2
36920,1
36922,2
36924,4
36925,1
36932,1
36934,1
36936,1
36937,1
36939,1
36940,1
36945,2
36948,1
36953,1
36956,1
36960,1
36961,2
36963,1
36964,1
36965,2
36966,1
36967,1
36969,1
36972,2
36973,1
36977,1
36979,2
36980,1
36981,1
36984,1
36985,1
36987,2
36989,1
36992,2
36993,1
36995,2
37000,1
37002,1
37004,2
37009,1
37011,1
37012,1
37016,1
37020,3
37024,1
37025,2
37027,2
37028,2
37032,1
37035,1
37040,1
37045,3
37046,1
37047,4
37049,1
37051,1
37053,1
37056,1
37058,1
37059,1
37060,1
37062,1
37065,2
37067,2
37075,1
37076,1
37089,1
37091,2
37092,2
37096,1
37097,1
37103,1
37105,1
37106,1
37110,3
37111,1
37113,2
37120,3
37122,1
37124,2
37127,1
37130,1
37132,1
37137,2
37138,1
37139,1
37140,2
37141,1
37142,1
37144,1
37145,2
37148,1
37152,3
37154,1
37156,2
37157,2
37159,1
37163,2
37164,1
37165,1
37166,1
37169,2
37172,2
37173,1
37174,1
37176,1
37178,1
37179,4
37180,4
37184,3
37185,1
37186,2
37188,1
37189,1
37190,1
37192,1
37195,2
37196,1
37197,1
37199,1
37201,1
37203,1
37204,1
37206,2
37211,2
37215,1
37216,1
37217,2
37218,1
37219,1
37220,2
37224,1
37225,1
37226,1
37228,1
37230,1
37233,1
37235,1
37238,2
37239,1
37240,1
37241,2
37242,1
37243,1
37245,1
37246,1
37249,5
37251,3
37252,1
37253,1
37255,1
37256,1
37260,4
37265,2
37269,1
37271,3
37276,2
