bits,frequencia
32768,1
32769,1
32771,1
32776,1
32779,1
32780,1
32785,1
32792,2
32794,1
32797,1
32798,1
32799,3
32801,2
32807,1
32809,2
32811,1
32812,1
32817,2
32822,1
32831,2
32835,2
32838,1
32840,1
32842,1
32844,1
32845,2
32847,2
32849,1
32852,1
32853,1
32856,1
32859,1
32865,1
32867,1
32869,2
32871,1
32874,1
32880,1
32881,1
32882,1
32883,1
32886,1
32887,1
32895,3
32896,1
32897,2
32899,2
32900,1
32905,2
32906,1
32907,1
32910,1
32913,1
32917,1
32919,1
32924,2
32925,2
32926,1
32932,1
32933,1
32935,1
32938,1
32939,3
32940,1
32942,1
32943,2
32948,1
32951,1
32953,2
32954,1
32955,2
32961,1
32963,1
32968,1
32969,1
32970,1
32972,1
32973,1
32976,1
32981,1
32983,1
32984,1
32992,1
32993,1
32996,1
33000,1
33004,1
33006,1
33007,3
33009,1
33015,1
33017,1
33020,2
33021,1
33023,1
33024,1
33027,1
33030,2
33036,2
33042,1
33043,1
33044,1
33046,1
33052,1
33054,1
33060,1
33061,1
33063,2
33067,2
33068,2
33070,1
33071,1
33073,1
33074,1
33075,3
33080,1
33082,1
33083,2
33084,1
33085,2
33090,1
33091,2
33092,1
33093,1
33095,1
33097,1
33103,1
33104,1
33105,1
33106,1
33107,1
33115,3
33117,1
33120,1
33123,1
33129,1
33131,2
33132,1
33136,1
33137,2
33139,3
33142,1
33145,1
33147,1
33148,1
33151,1
33160,1
33164,1
33166,2
33171,1
33172,2
33176,1
33182,1
33185,1
33191,1
33193,1
33196,1
33199,2
33200,1
33202,1
33205,3
33207,1
33208,1
33211,1
33212,3
33213,1
33215,1
33218,1
33220,1
33227,1
33228,1
33230,1
33235,1
33237,2
33240,1
33243,1
33245,1
33246,1
33247,2
33248,1
33251,1
33253,1
33256,1
33259,2
33260,1
33261,1
33262,2
33263,1
33266,1
33267,1
33270,1
33272,1
33273,2
33275,2
33278,1
33279,1
33281,1
33282,2
33283,2
33285,1
33287,2
33289,1
33290,2
33292,1
33297,1
33299,1
33301,2
33302,1
33303,1
33305,1
33307,1
33315,1
33316,1
33318,1
33319,1
33320,1
33326,1
33328,1
33329,3
33330,1
33332,1
33343,1
33344,1
33346,1
33347,3
33348,3
33353,2
33354,1
33356,1
33357,1
33360,1
33364,1
33368,2
33369,1
33370,2
33371,2
33374,1
33375,1
33378,1
33379,1
33380,1
33385,1
33387,1
33390,1
33396,1
33399,1
33402,2
33407,1
33411,1
33412,1
33415,2
33417,1
33418,1
33419,1
33420,1
33424,1
33425,1
33429,1
33431,1
33432,1
33435,1
33436,1
33437,1
33442,1
33444,1
33456,2
33457,2
33458,1
33461,1
33465,1
33467,1
33470,2
33474,1
33477,1
33487,2
33488,1
33490,2
33491,2
33496,2
33498,1
33501,1
33504,4
33505,1
33508,2
33510,2
33511,1
33513,3
33515,1
33516,1
33527,2
33528,1
33532,2
33533,1
33540,1
33546,2
33555,1
33556,1
33557,2
33560,1
33561,1
33562,1
33564,2
33565,2
33568,1
33571,2
33577,1
33580,1
33581,2
33583,4
33586,1
33587,1
33589,1
33591,1
33593,1
33596,1
33598,1
33606,1
33609,2
33613,1
33619,1
33622,1
33623,1
33624,1
33625,3
33626,1
33628,2
33629,1
33636,2
33642,1
33645,1
33646,2
33649,1
33651,1
33653,1
33655,1
33657,1
33658,1
33659,1
33660,1
33662,1
33664,1
33666,1
33667,1
33669,1
33672,1
33675,1
33676,1
33678,2
33685,1
33686,1
33689,2
33691,1
33692,2
33694,3
33695,1
33698,2
33699,1
33700,1
33709,1
33710,1
33711,1
33713,1
33718,2
33719,1
33720,1
33723,3
33724,1
33726,1
33730,1
33732,1
33735,1
33737,1
33742,2
33743,1
33753,1
33754,1
33758,1
33761,1
33763,1
33764,2
33767,2
33768,1
33771,1
33774,4
33775,1
33777,1
33778,1
33779,1
33781,1
33782,1
33784,1
33785,1
33789,1
33792,3
33793,1
33794,1
33796,1
33798,1
33804,1
33806,1
33809,1
33812,1
33813,1
33814,1
33817,1
33839,2
33841,1
33842,1
33855,1
33856,1
33862,1
33864,1
33866,1
33868,2
33869,1
33873,1
33874,1
33876,2
33877,1
33882,1
33885,1
33886,1
33887,1
33888,1
33893,1
33895,1
33900,1
33906,2
33908,1
33912,1
33915,1
33923,1
33926,1
33928,2
33929,2
33931,1
33932,1
33933,1
33936,1
33939,1
33945,1
33949,1
33950,3
33956,1
33960,1
33962,2
33964,1
33968,1
33974,2
33978,1
33979,1
33980,1
33982,1
33984,1
33988,1
33990,1
33991,1
33992,1
33993,3
33994,1
33995,1
33998,1
34001,1
34003,1
34007,2
34008,1
34009,1
34011,1
34013,1
34014,1
34019,1
34020,1
34021,1
34023,1
34025,1
34028,1
34029,3
34030,1
34031,1
34037,1
34039,1
34040,1
34041,1
34042,2
34043,2
34046,2
34048,1
34052,1
34057,1
34060,1
34061,1
34064,1
34066,1
34076,2
34081,1
34083,1
34092,1
34094,1
34096,2
34097,3
34098,1
34101,1
34102,1
34103,1
34105,2
34106,1
34107,1
34111,2
34114,1
34116,4
34118,2
34119,1
34123,3
34124,1
34126,1
34128,1
34130,1
34135,1
34136,1
34137,1
34139,1
34145,1
34147,1
34148,1
34149,1
34150,1
34153,1
34156,2
34157,1
34158,1
34161,3
34163,2
34165,2
34167,3
34168,1
34169,1
34170,2
34171,1
34173,1
34175,1
34176,1
34183,1
34185,1
34186,1
34195,1
34196,1
34198,2
34199,2
34202,1
34204,1
34208,1
34213,2
34215,1
34218,1
34225,1
34226,1
34230,1
34231,2
34232,1
34233,1
34234,1
34235,1
34236,1
34238,1
34239,3
34243,1
34244,1
34246,1
34248,1
34256,1
34269,2
34273,2
34280,1
34293,1
34294,1
34295,1
34299,1
34300,1
34301,1
34304,1
34305,3
34306,1
34307,1
34318,1
34319,1
34322,1
34323,2
34324,1
34325,2
34329,1
34330,2
34331,1
34336,1
34338,1
34340,2
34341,2
34347,1
34348,3
34349,1
34351,2
34355,1
34360,2
34362,1
34363,1
34364,1
34367,2
34369,2
34371,1
34373,1
34374,3
34375,3
34377,1
34382,1
34385,1
34391,2
34394,2
34397,1
34399,1
34402,1
34403,1
34405,1
34417,1
34422,1
34423,1
34424,1
34425,1
34430,1
34433,2
34434,1
34436,1
34438,1
34441,1
34443,1
34451,1
34455,1
34459,2
34462,2
34463,1
34468,2
34471,1
34474,1
34476,1
34478,1
34480,1
34482,1
34484,1
34485,1
34486,2
34487,1
34488,2
34490,2
34491,1
34492,1
34501,2
34502,1
34510,1
34511,2
34515,1
34516,2
34520,1
34521,2
34522,2
34523,1
34526,1
34527,1
34529,1
34532,2
34537,1
34542,1
34544,1
34546,1
34550,2
34552,1
34555,1
34556,1
34561,1
34563,2
34565,2
34567,1
34569,1
34572,1
34574,1
34575,1
34577,1
34581,1
34585,1
34590,2
34591,1
34593,1
34594,1
34597,1
34598,1
34601,1
34602,1
34605,1
34608,2
34613,1
34616,1
34620,1
34622,2
34623,1
34629,1
34636,1
34641,1
34644,1
34646,2
34648,1
34650,1
34651,1
34654,3
34655,1
34656,1
34658,1
34666,2
34668,1
34669,1
34671,1
34673,1
34680,1
34681,1
34687,1
34688,1
34698,1
34701,2
34706,1
34707,1
34708,2
34710,1
34713,2
34714,1
34715,1
34720,1
34721,3
34722,2
34727,2
34735,1
34736,1
34741,1
34745,1
34748,1
34749,1
34751,1
34753,1
34754,1
34759,1
34760,1
34765,1
34767,1
34768,1
34769,1
34772,1
34773,1
34775,1
34777,2
34779,1
34785,1
34791,1
34792,1
34793,4
34794,1
34797,1
34798,1
34802,1
34804,1
34807,1
34808,1
34810,1
34814,1
34817,1
34818,1
34820,2
34821,1
34822,1
34831,1
34836,2
34839,1
34840,1
34841,1
34842,1
34843,1
34845,3
34848,1
34849,2
34851,2
34852,1
34856,1
34859,1
34860,1
34865,1
34868,2
34873,1
34875,1
34876,1
34878,1
34879,1
34882,2
34886,1
34891,1
34892,1
34894,1
34901,1
34902,2
34907,1
34908,1
34911,1
34915,2
34917,1
34918,1
34933,1
34936,1
34939,1
34940,2
34941,1
34948,1
34951,1
34953,1
34957,2
34958,1
34960,1
34962,1
34971,4
34975,1
34977,2
34978,2
34983,1
34987,1
34990,1
34993,2
34994,2
34995,1
34996,1
34997,1
34998,2
34999,1
35001,2
35003,1
35004,1
35006,1
35007,2
35009,1
35010,1
35015,1
35016,1
35020,1
35021,1
35023,1
35025,1
35026,1
35027,1
35032,1
35034,1
35035,2
35036,1
35037,1
35040,2
35045,1
35046,1
35047,1
35051,1
35055,1
35056,2
35062,1
35063,1
35064,1
35065,1
35067,2
35070,1
35074,1
35076,1
35079,1
35080,2
35088,1
35091,1
35092,1
35093,1
35098,1
35102,2
35103,1
35104,3
35107,1
35109,2
35111,3
35114,2
35116,1
35120,1
35121,1
35122,1
35127,2
35132,1
35134,1
35137,1
35139,1
35142,1
35143,1
35147,1
35148,2
35149,1
35156,2
35157,2
35158,1
35159,2
35160,1
35166,1
35170,1
35171,1
35172,1
35173,3
35177,1
35183,1
35185,1
35186,2
35188,3
35191,2
35194,1
35195,2
35196,2
35202,1
35204,1
35205,1
35207,1
35208,1
35212,1
35213,1
35216,1
35217,1
35219,1
35222,3
35227,3
35229,1
35232,1
35234,2
35236,2
35238,1
35239,3
35241,1
35256,1
35257,1
35259,1
35265,2
35268,1
35271,1
35273,1
35278,1
35280,1
35282,2
35284,1
35285,1
35287,1
35290,1
35291,1
35294,3
35298,2
35299,1
35301,2
35302,1
35304,1
35306,1
35308,1
35309,1
35317,1
35322,1
35324,1
35325,1
35328,1
35329,1
35334,1
35335,1
35336,1
35337,1
35343,1
35344,1
35345,1
35347,1
35351,1
35353,1
35356,1
35364,5
35365,2
35370,1
35372,1
35373,2
35375,2
35376,1
35377,1
35378,1
35380,1
35381,1
35384,2
35388,1
35390,2
35394,2
35398,1
35409,1
35413,1
35415,1
35416,1
35418,2
35419,1
35421,1
35422,1
35423,3
35424,1
35427,1
35429,1
35432,1
35435,1
35437,2
35440,1
35443,1
35444,1
35445,1
35453,1
35456,1
35459,1
35460,1
35464,1
35466,1
35469,1
35477,2
35484,2
35485,1
35490,1
35492,2
35493,1
35495,1
35502,1
35503,1
35511,1
35513,2
35515,1
35517,2
35519,1
35524,1
35525,1
35526,2
35528,2
35529,1
35533,1
35534,2
35538,2
35539,2
35543,1
35546,1
35547,1
35548,1
35549,1
35550,2
35553,1
35558,2
35559,1
35561,1
35563,1
35565,3
35569,1
35571,1
35572,1
35575,1
35576,1
35577,1
35579,3
35583,2
35584,1
35588,2
35593,1
35595,1
35596,1
35597,1
35598,1
35599,2
35600,1
35602,2
35603,1
35605,1
35606,2
35613,1
35615,1
35617,2
35622,1
35626,1
35628,3
35633,1
35637,1
35640,1
35641,1
35642,1
35646,1
35647,2
35650,1
35655,1
35659,2
35667,1
35669,1
35673,1
35675,1
35676,1
35678,2
35679,2
35680,1
35681,2
35682,1
35683,2
35684,1
35687,1
35688,1
35689,1
35691,2
35694,1
35697,1
35706,3
35710,1
35711,1
35713,4
35718,1
35723,2
35724,1
35729,1
35732,1
35734,2
35736,1
35737,1
35739,2
35741,1
35751,3
35752,1
35753,2
35754,1
35755,1
35757,1
35758,1
35759,1
35762,1
35770,2
35771,1
35772,3
35778,1
35780,1
35782,1
35783,1
35785,1
35787,1
35792,1
35794,1
35796,1
35801,3
35804,2
35807,1
35810,1
35813,1
35816,2
35817,1
35819,1
